locus_tag	ftype	length_bp	gene	EC_number	COG	product
PJNEKNFH_00001	CDS	696				hypothetical protein
PJNEKNFH_00002	CDS	960				hypothetical protein
PJNEKNFH_00003	CDS	504	fecI_1		COG1595	putative RNA polymerase sigma factor FecI
PJNEKNFH_00004	CDS	300	yccX	3.6.1.7		Acylphosphatase
PJNEKNFH_00005	CDS	2016	accA1_1		COG4770	Acetyl-/propionyl-coenzyme A carboxylase alpha chain
PJNEKNFH_00006	CDS	573				hypothetical protein
PJNEKNFH_00007	CDS	660		1.11.1.15	COG0450	Peroxiredoxin
PJNEKNFH_00008	CDS	1263	flhA_1	1.1.1.284	COG1062	S-(hydroxymethyl)glutathione dehydrogenase
PJNEKNFH_00009	CDS	2217				hypothetical protein
PJNEKNFH_00010	CDS	1356				hypothetical protein
PJNEKNFH_00011	tRNA	77				tRNA-Arg(tcg)
PJNEKNFH_00012	CDS	351				hypothetical protein
PJNEKNFH_00013	CDS	2649	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
PJNEKNFH_00014	CDS	3498				hypothetical protein
PJNEKNFH_00015	CDS	2121	hppA_1	7.1.3.1	COG3808	K(+)-insensitive pyrophosphate-energized proton pump
PJNEKNFH_00016	CDS	1113	dapX_1	2.6.1.-	COG0436	putative N-acetyl-LL-diaminopimelate aminotransferase
PJNEKNFH_00017	CDS	1434	bepA_1	3.4.-.-		Beta-barrel assembly-enhancing protease
PJNEKNFH_00018	CDS	765				hypothetical protein
PJNEKNFH_00019	CDS	471	aroQ_1	4.2.1.10	COG0757	3-dehydroquinate dehydratase
PJNEKNFH_00020	CDS	486	accB_1		COG0511	Biotin carboxyl carrier protein of acetyl-CoA carboxylase
PJNEKNFH_00021	CDS	1356	accC_1	6.3.4.14	COG0439	Biotin carboxylase
PJNEKNFH_00022	CDS	1494	sasA_2	2.7.-.-		Adaptive-response sensory-kinase SasA
PJNEKNFH_00023	CDS	441	rcp1			Response regulator rcp1
PJNEKNFH_00024	CDS	1089	cheB_1	3.5.1.44		Protein-glutamate methylesterase/protein-glutamine glutaminase
PJNEKNFH_00025	CDS	678	aat_1	2.3.2.6	COG2360	Leucyl/phenylalanyl-tRNA--protein transferase
PJNEKNFH_00026	CDS	756				hypothetical protein
PJNEKNFH_00027	CDS	1809				hypothetical protein
PJNEKNFH_00028	CDS	411				hypothetical protein
PJNEKNFH_00029	CDS	282				hypothetical protein
PJNEKNFH_00030	CDS	375				hypothetical protein
PJNEKNFH_00031	CDS	930				hypothetical protein
PJNEKNFH_00032	CDS	1434	trmFO_1	2.1.1.74	COG1206	Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO
PJNEKNFH_00033	CDS	1101				hypothetical protein
PJNEKNFH_00034	CDS	861				hypothetical protein
PJNEKNFH_00035	CDS	387				hypothetical protein
PJNEKNFH_00036	CDS	1059	secF_1			Protein translocase subunit SecF
PJNEKNFH_00037	CDS	1599	secD_1		COG0342	Protein translocase subunit SecD
PJNEKNFH_00038	CDS	402				hypothetical protein
PJNEKNFH_00039	CDS	813				hypothetical protein
PJNEKNFH_00040	CDS	1362				hypothetical protein
