# locus_id	locus_tag	location	classification	internal_stop	indel	ref_id	description	query_cov	ref_cov	identity
MGA_26	LOCUS_000250	sequence00001:34725..35654(-)	partial			WP_038966849.1	DUF2155 domain-containing protein	77.3	72.8	60.5
MGA_27	LOCUS_000260	sequence00001:36053..37861(+)	partial			WP_011088562.1	FecR family protein	14.6	40.4	34.1
MGA_38	LOCUS_000370	sequence00001:47771..48181(-)	partial			WP_011087504.1	preprotein translocase subunit YajC	74.3	80.8	84.2
MGA_57	LOCUS_000560	sequence00001:65663..66235(+)	partial			WP_011087384.1	hypothetical protein	71.1	68.2	70.6
MGA_94	LOCUS_000930	sequence00001:104789..105961(+)	frameshift,internal_stop_codon	104760..104762(+),106068..106070(+)	104600,105830	WP_162494165.1	autotransporter domain-containing protein	89.2	42.8	52.1
MGA_96	LOCUS_000950	sequence00001:106090..106662(+)	frameshift,internal_stop_codon	106067..106069(+)	106498,105829	WP_162494165.1	autotransporter domain-containing protein	68.9	16.2	51.9
MGA_102	LOCUS_001010	sequence00001:112037..112393(+)	partial			WP_011103121.1	DUF6531 domain-containing protein	82.2	13.5	34.8
MGA_214	LOCUS_002120	sequence00002:9439..9987(+)	partial			WP_011083357.1	invasion associated locus B family protein	85.7	70.9	72.4
MGA_219	LOCUS_002170	sequence00002:14324..15649(-)	frameshift		15427,15405	WP_011083352.1	OmpA family protein	71.9	40.3	61.5
MGA_243	LOCUS_002410	sequence00002:37696..38424(-)	partial			WP_011083309.1	GyrI-like domain-containing protein	74.8	73.7	67.6
MGA_287	LOCUS_002850	sequence00002:88586..88921(+)	partial			WP_011084341.1	DUF4164 domain-containing protein	53.2	61.5	78.0
MGA_302	LOCUS_003000	sequence00002:100720..101772(+)	partial			WP_011089888.1	cell envelope integrity protein TolA	30.0	32.3	61.9
MGA_351	LOCUS_003490	sequence00003:4397..5044(+)	partial			WP_010971285.1	HK97 family phage prohead protease	64.7	73.2	53.2
MGA_370	LOCUS_003680	sequence00003:19065..20987(+)	partial			WP_011090961.1	hypothetical protein	54.1	77.4	44.6
MGA_371	LOCUS_003690	sequence00003:21135..21635(+)	partial			WP_011339594.1	M15 family metallopeptidase	98.8	61.7	28.2
MGA_418	LOCUS_004160	sequence00003:82981..83514(+)	partial			WP_164927078.1	DUF559 domain-containing protein	71.8	10.6	48.5
MGA_439	LOCUS_004370	sequence00003:104226..105029(-)	frameshift		105190	WP_162494165.1	autotransporter domain-containing protein	98.5	32.3	51.5
MGA_440	LOCUS_004380	sequence00003:104912..107683(-)	frameshift		105193	WP_162494165.1	autotransporter domain-containing protein	51.9	57.9	37.8
MGA_443	LOCUS_004410	sequence00003:110692..111612(-)	partial			WP_183806692.1	HNH endonuclease	40.8	40.9	34.1
MGA_447	LOCUS_004450	sequence00003:117328..117516(-)	partial			WP_013368419.1	type II toxin-antitoxin system Phd/YefM family antitoxin	77.4	67.6	68.8
MGA_452	LOCUS_004500	sequence00003:121036..121926(-)	partial			WP_013368630.1	toprim domain-containing protein	68.2	60.6	34.1
MGA_483	LOCUS_004800	sequence00004:22087..22626(-)	partial			WP_038967314.1	META domain-containing protein	62.6	84.8	66.1
MGA_554	LOCUS_005510	sequence00004:100818..101768(-)	partial			WP_004201016.1	multicopper oxidase domain-containing protein	86.1	53.3	32.5
MGA_557	LOCUS_005540	sequence00004:102872..103816(-)	partial			WP_120018937.1	multicopper oxidase domain-containing protein	81.5	39.5	40.8
MGA_573	LOCUS_005690	sequence00005:392..631(-)	partial			WP_011036269.1	3'-5' exonuclease	93.7	10.7	52.7
MGA_575	LOCUS_005710	sequence00005:1157..5626(-)	partial			WP_013530881.1	translocation/assembly module TamB domain-containing protein	81.4	56.9	25.1
MGA_580	LOCUS_005760	sequence00005:11117..12253(+)	partial			WP_003114936.1	TonB-dependent receptor	95.8	43.8	31.2
MGA_591	LOCUS_005870	sequence00005:27182..27760(+)	partial			WP_003438605.1	peroxiredoxin	91.1	24.7	52.6
MGA_592	LOCUS_005880	sequence00005:27757..28152(+)	partial			WP_011086290.1	metalloregulator ArsR/SmtB family transcription factor	71.0	80.2	48.4
MGA_597	LOCUS_005930	sequence00005:30983..31363(+)	frameshift		31486,31342	WP_011388640.1	TonB-dependent siderophore receptor	73.0	12.1	37.5
MGA_600	LOCUS_005960	sequence00005:34135..34413(-)	frameshift		34511	WP_162275222.1	TonB-dependent receptor	62.0	6.7	54.4
MGA_601	LOCUS_005970	sequence00005:34410..36125(-)	frameshift		34511	WP_042440066.1	TonB-dependent siderophore receptor	93.0	68.7	35.5
MGA_637	LOCUS_006330	sequence00005:82786..83061(+)	partial			WP_011083390.1	hypothetical protein	81.3	67.3	62.2
